Temperatura,Precipitação
27,1
24,16
28,0
32,17
23,0
23,11
32,3
28,24
22,0
27,4
22,17
22,3
26,4
15,5
16,3
22,4
19,4
26,11
20,0
17,1
32,15
23,11
25,3
17,4
22,1
25,1
19,3
26,2
21,4
23,0
21,18
34,21
24,5
19,3
29,1
18,8
26,5
15,0
18,12
25,8
28,14
25,6
24,4
23,2
17,13
21,10
22,0
30,0
26,2
16,8
26,21
23,0
21,4
28,2
30,17
29,9
20,9
23,3
26,2
29,1
22,0
24,10
19,8
19,40
29,28
31,4
24,7
30,14
26,9
21,1
26,2
32,0
24,15
32,4
11,1
29,5
25,4
23,2
25,0
15,5
23,3
26,7
32,3
22,9
20,4
22,4
29,10
26,2
22,0
27,0
25,7
29,4
21,6
23,1
23,0
17,0
26,2
26,4
25,2
23,2
17,11
22,2
23,3
20,7
24,2
27,4
34,9
25,14
26,0
24,13
15,3
24,1
25,3
37,19
24,3
26,1
24,5
19,1
30,0
28,0
28,0
20,0
32,0
17,5
27,1
35,2
20,11
22,3
25,5
22,0
17,1
25,0
19,0
27,1
20,0
32,0
21,0
23,3
29,1
18,2
26,3
31,5
16,0
25,8
26,4
28,0
18,10
18,12
27,0
26,1
26,8
26,6
21,1
26,1
26,2
21,3
34,4
27,2
19,3
28,6
20,0
28,1
30,6
20,11
29,3
27,3
29,0
34,2
23,3
21,1
20,1
20,2
24,0
26,1
26,1
29,1
25,0
32,11
23,4
38,5
28,7
20,3
19,0
27,3
23,4
28,6
27,2
24,0
20,1
17,2
22,5
29,4
26,2
18,21
25,4
26,1
20,0
25,0
25,1
19,0
26,1
27,1
30,0
30,11
18,0
20,3
27,2
27,20
27,0
44,2
27,17
30,10
29,8
28,1
23,0
28,5
21,13
23,4
22,4
25,1
36,7
15,1
28,1
16,2
22,3
30,1
25,0
19,4
21,1
28,4
21,0
26,3
25,3
21,0
35,2
28,0
14,0
25,23
21,1
29,8
21,1
24,5
27,7
29,4
18,3
23,2
22,2
21,13
33,8
27,16
18,0
29,6
35,13
30,0
17,0
22,6
31,4
21,9
27,0
28,7
20,1
24,0
8,0
19,8
23,5
18,3
33,2
17,10
22,2
25,8
32,2
17,2
30,3
25,1
20,6
27,3
25,1
21,11
25,2
23,3
25,11
28,4
32,0
18,14
35,4
15,2
24,0
27,7
26,4
21,3
23,11
22,7
22,0
29,1
26,1
21,6
29,0
26,4
29,7
28,10
20,2
22,8
28,0
28,9
24,0
25,2
31,7
22,0
27,1
23,6
23,6
30,5
29,5
29,3
31,1
25,2
28,1
23,11
26,4
24,2
25,3
27,14
20,0
35,4
19,3
18,4
30,0
28,10
28,13
28,4
24,5
20,12
25,6
21,0
29,4
24,4
20,2
23,6
27,13
22,12
20,2
26,0
26,20
22,9
22,0
26,12
17,10
17,3
21,4
23,2
26,0
32,2
29,8
24,0
24,2
19,2
24,3
23,12
26,2
20,2
27,6
32,3
24,1
27,3
28,0
